"Category","Categoria"
"Custom Description","Descrição Customizada"
"You cannot modify your previos descripion because your ad already has sale, and this is not allowed by Mercadolibre but you can add a new text that will go below your actual description","Você não pode modificar a descrição por que esse anúncio já possui venda, mas você pode adicionar um texto no final da descrição atual"
"Add Description","Adicionar Descrição"
"Description","Descrição"
"Other Informations","Outras informações"
"General Information","Informações Gerais"
"Product Related","Produto Relacionado"
"Mercadolivre Ads","Anúncio no Mercadolivre"
"Save Ad","Salvar Anúncio"
"Edit Ad  '%s","Editar Anúncio  '%s"
"New Ad","Novo Anúncio"
"Ad Id #","Anúncio ID #"
"Product Id #","Produto ID #"
"Product Sku #","Produto Sku #"
"Ad Title",'Título do Anúncio"
"Publish On","Publicado"
"Expire On","Expiração"
"Expire in","Dias para expiração"
"Price","Preço"
"Ad Type","Tipo do anúncio"
"Sold Qtd","Qtd Vendida"
"Action","Ação"
"View","Ver" 
"Active Ads","Ativar Anúncios"
"Pause Ads","Pausar Anúncios"
"Close Ads","Encerrar Anúncios"
"Delete","Excluir Anúncios"
"Close Ads and Delete,"Encerrar e deletar anúncios"
"Bulk Import Ads from Mercadolivre","Importar anúncios do Mercadolivre"
"Mercado Livre Ads","Anúncios no Mercadolivre"
"Create New Ad","Criar Novo Anúncio"
"Customer","Cliente"
"FeedBack","Qualificação"
"Information","Informação"
"Store Orders","Pedidos na loja"
"Mercadolivre Orders","Pedidos no Mercadolivre"
"Save Order","Salvar Pedido"
"Sale Id #","Venda #"
"Mercadolivre Order Id #","Mercadolivre Venda ID #"
"Date Created","Data de Criação"
"Buyer Name #","Comprador"
"Item name","Produto"
"Total Price","Valor Total"
"MercadoLivre Manage Sales","Gerenciar Mercadolivre Vendas"
"Ads Quantity","Qtd de Anúncios"
"Categories","Categorias"
"Bulk Add","Adicionar em Massa"
"Choose a product to create an ad","Escolha um produto para criar um anúncio"
"Delete Question","Deletar Pergunta"
"Mercado Livre Questions","Perguntas do Mercadolivre"
"Mercadolivre Authentication","Autenticar no Mercadolivre"
"Module Information","Informações do Módulo"
"Notification Logs","Log de Notificação"
"User Id","ID do Usuário"
"Attemps","Tentativas"
"General information","Informações Gerais"
"Template Design","Design do Template"
"Template name","Nome do Template"
"Info","Info"
"Mercadolivre Template","Templates do Mercadolivre"
"Save Template","Salvar Template"
"Edit Template  '%s'","Editar Template '%s'"
"New Template","Novo Template"
"Item","Anúncio"
"Edit Item","Editar Anúncio"
"New Item","Novo Anúncio"
"You cannot update a closed item, you should relist insted.","Você não pode atualizar um anúncio encerrado, mas você pode recadastrar ele."
"An error occurred while saving the item. ","Ocorreu um erro ao salvar esse anúncio. "
"The item has been sent to MercadoLivre,"Anúncio foi enviado para o Mercadolivre"
"Was not possible to post this item on MercadoLivre because authentication has failed, you need to autorize this Application at MercadoLivre again.","Não foi possível salvar esse anúncio por uma falha de autenticação, você deve autorizar essa aplicação no Mercadolivre novamente."
"An error occurred while post this item at MercadoLivre: <br /><br />""Ocorreu um erro ao enviar esse anúncio ao Mercadolivre: <br /><br />"
"Was not possible to update this item on MercadoLivre because authentication has failed, you need to autorize this Application at MercadoLivre again.","Não foi possível salvar esse anúncio por uma falha de autenticação, você deve autorizar essa aplicação no Mercadolivre novamente."
"An error occurred while post this item at MercadoLivre: <br /><br />","Um erro ocorreu ao enviar esse anúncio ao Mercadolivre: <br /><br />"
"All register was correctly update","Todos Registros foram corretamente atualizados"
"An error occurred while update the item(s): ","Um erro ocorreu ao atualizar o(s) anúncio(s): "
"Product id # %s was not sent because do not have Mercadolivre Category Id configured,"O anúncio com o produto ID# %s não foi gerado por que não possui uma categoria do Mercadolivre atrelada a ele"
"%s Ads was success created at Mercadolivre, %s fail, review the products: %s,"%s Anúncios foram gerados com sucesso, %s falharam, cheque os produtos: %s"
"%s Ads was success created at Mercadolivre","%s Anúncios foram gerados com sucesso"
"%s Ads was success imported from Mercadolivre, %s fail to import","%s Anúncios foram importados com sucesso do Mercadolivre, %s anúncios falharam"
"This order no longer exists.","Esse pedido não foi encontrado"
"Was not possible to get customer information","Não foi possível recuperar as informações do cliente"
"Date","Data"
"Rating","Qualificação"
"Completed","Completo"
"No","Não"
"Yes","Sim"
"Message","Mensagem"
"Reply","Responder"
"The customer information was correctly saved","As informações do cliente foram salvas corretamente"
"Nothing to save","Nada para salvar"
"Question","Pergunta"
"View Question","Ver Pergunta"
"This question no longer exists.","Pergunta não localizada"
"An error occurred while post this question to MercadoLivre: <br /><br />","Um erro ocorreu ao enviar esse pergunta ao Mercadolivre <br /><br />"
"The Question was not deleted from Mercadolivre","Pergunta não foi excluida do Mercadolivre"
"The Question was success deleted from Mercadolivre","Pergunta excluida do Mercadolivre com sucesso"
"%s Questions was success deleted from Mercadolivre","%s Perguntas foram excluidas do Mercadolivre com sucesso"
"The authentication credentials has been deleted","As credencias de autenticação foram excluidas"
"Edit Template","Editar template",
"New Template","Novo Template"
"The template has been saved.","O template foi salvo"
"Ad Description","Descrição do anúncio"
"Product variables","Variáveis do Produto"
"Pending","Pendente"
"Active","Ativo"
"Paused","Pausado"
"Closed","Encerrado"
"Under Review","Sob análise"
"Activing","Ativando"
"Inactive","Desativado"
"Payment Required","Pagamento necessário"
"Shipping payment for order #","Pagamento de frete para o pedido #"
"UNANSWERED","Não respondida"
"ANSWERED","Respondida"
"Insert Product Variable...","Inserir variações do produto ..."
"Category Tree","Árvore de Categorias do Mercadolivre"
"Mercadolivre Related Category,"Categorias relacionadas do Mercadolivre"
"You need to select a subcategory","É necessário selecionar uma subcategoria"
"Browser the tree until reach the the <b>last possible</b> sub-category and become green","Navegue pela árvore de categorias, clicando sob a seta, até o nome da categoria ser <b>Verde</b>"
"Select Below","Seleciona abaixo"
"Item Category","Categoria do anúncio"
"Thumbnail","Miniatura"
"Sold Quantity:","Quantidade vendida"
"Ends:","Encerra:"
"days","dias"
"Related Product Name","Nome do produto relacionado"
"Related Product SKU,"Sku do produto relacionado"
"Item Title","Título do anúncio"
"Item Subtitle","Subtítulo do anúncio"
"Item Price","Valor do anúncio"
"Item Quantity","Quantidade"
"Get from Store Product Stock","Usar qtd de estoque do produto"
"Close","Encerrar"
"First Name","Primeiro Nome"
"Last Name","Sobrenome"
"Address","Endereço"
"City","Cidade"
"State","Estado"
"Postalcode","Cep"
"Country","País"
"Phone","Telefone"
"Document Id","Documento"
"Document Type","Tipo do documento"
"Mercadolivre Information","Informações do Mercadolivre"
"Feedback given","Qualificação enviada"
"Was not possible to give or change the feedback. Perhaps you need to wait a answer from the buyer, or this ordem is expired to give or change feedback","Não foi possível enviar ou alterar a qualificação, talvez é necessário uma ação da outra parte, ou essa venda se encontra expirada ao não apta ainda para esse tipo de qualificação"
"Completed","Completado"
"Reason","Motivo"
"Message","Mensagem"
"Change FeedBack","Alterar Qualificação"
"Not Given","Não qualificada"
"Give FeedBack","Enviar qualificação"
"Fulfilled","Completado"
"Positive","Positiva"
"Neutral","Neutra"
"Negative","Negativa"
"Cancel","Cancelar"
"Save","Salvar"
"Feedback Received","Qualificação recebida"
"Give Reply","Responder"
"Reply Message","Mensagem de resposta"
"Order Information","Informações do pedido"
"Mercadolivre Order Id","Id do pedido no Mercadolivre"
"Is Free Shipping","Possui frete gratuito?"
"Order Subtotal","Subtotal do pedido"
"Shipping paid at Mercadolivre","Frete pago no Mercadolivre"
"Total paid at Mercadolivre","Total pago no Mercadolivre"
"Shipping Method","Método de envio"
"Subtotal paid at Store","Subtotal pago na loja"
"Shipping paid at Store","Frete pago na loja"
"Total paid at Store","Total pago na loja"
"Answer Questions","Responder Perguntas"
"User information","Informação do usuário"
"Ad information","Informação do anúncio"
"Question","Pergunta"
"Answer","Resposta"
"User Info","Informação do usuário"
"User Id","Id do usuário"
"Nickname","Apelido"
"Transactions as a Seller","Transações como vendedor"
"Total transactions","Total de Transações"
"Reputation as a Seller","Reputação como vendedor"
"Authentication","Autenticação"
"To autorize this module at Mercadolivre click on the button below:","Clique no botão abaixo para autenticar essa aplicação no Mercadolivre"
"To reset previus authentication, click on the linke below","Para apagar a autenticação atual, clique no botão abaixo"
"Reset Authorization","Cancelar autenticação"
"Mercadolivre Module for Magento","Módulo Magento de integração com o Mercadolivre"
"Version ","Versão"
"Mercadolivre Orders","Pedido do Mercadolivre"
"Fill Up your address information for the order ","Preencha os campos abaixo com o endereço de entrega: "
"Address Information","Informação de entrega"
"Name","Nome"
"Lastname","Sobrenome"
"Telephone","Telefone"
"Full Address","Endereço Completo"
"City","Cidade"
"Zipcode","Cep"
"Document Id","CPF"
"Back","Voltar"
"Save Address","Salvar"
"* Required Fields","* Campos obrigatórios"
"Sorry, you have no pending MercadoLivre Orders","Desculpe, não temos pedidos pendentes do Mercadolivre"
"We found more than one Order, select below the order that you want to complete","Localizamos mais de um pedido, selecione abaixo qual deseja completar"
"Order total","Total"
"Complete","Completar"
"Login to your Account","Logue na sua conta"
"Register","Registrar"
"Use your account credencials receveid by email.","Credencias de acesso enviadas por email"
"Email Address","Usuário"
"Password","Senha"
"Forgot Your Password?","Esqueceu sua senha?"
"Login","Logar"
"Your order information","Informações do seu pedido"
"Product Name","Produto"
"Price","Preço"
"Qty","Qtd"
"Shipping & Handling (","Manuseio e entrega ("
"Total paid at Mercadolivre (by MercadoPago)","Total pago no Mercadolivre"
"Total Due","Total devido"
"Choose your payment Method","Escolha a forma de Pagamento"
"Pay your Order","Pagar"
"Continue","Continuar"
"To autorize this application at Mercadolivre click on the link below:","Para autorizar essa aplicação no Mercadolivre, clique no link abaixo"
"Authorize this application at MercadoLivre","Autorizar essa aplicação no Mercadolivre"
"Domain Invalid","Domínio inválido"
"Sorry, the domain that you are using does not have license to use Thirdlevel MercadoLivre module","Desculpe, ocorreu um erro com a licença do Módulo Thirdlevel Magento Mercadolivre, ou ela não é valida para seu domínio atual"
"Click here to get more information and buy the module","Clique aqui para saber mais sobre esse módulo"
"Your module is now authorized with Mercadolivre","Autenticação no Mercadolivre realizada com sucesso"
"Mercadolivre Account Configuration","Configuração da conta do Mercadolivre"
"Module License Key","Chave de licença do módulo"
"Mercadolivre Account Country","País da conta"
"Create and get your at http://applications.mercadolibre.com/","Crie ou recupere essa informação em http://applications.mercadolibre.com/"
"Mercadolivre Currency","Moeda"
"Mercadolivre Redirect Url","Endereço de redirecionamento para autenticação"
"Magento Configuration","Configurações da Loja"
"Email to receive log in case of error","Email para receber informações de erro"
"Default Configuration","Configurações Padrões"
"Ads Template","Template Padrão"
"Free Shipping","Frete Gratuito"
"Ad Type",Tipo de anúncio no Mercadolivre"
"Use Store Stock Quantity","Usar estoque do produto quando importar anúncios do Mercadolivre"
"Product Configuration","Configuração dos Produtos"
"Store without Stock Management","Loja sem controle de estoque (estoque ilimitado)"
"Auto decrement Store Stock","Decrementar estoque da loja quando produto for vendido no Mercadolivre"
"Auto Update MercadoLivre Item Quantity based on Store Stock","Atualizar automáticamente a quantidade disponíveis nos anúncios do Mercadolivre, quando produto for vendido na loja"
"Shipping Configuration","Configuração de entrega"
"Shipping Method","Forma de entrega"
"Payment Configuration","Configuração de pagamento"
"Send Emails to Customers","Enviar email aos cliente para conclusão de compra?"
"Receive BBc copy of clients emails","Receber cópia dos emails enviados no email"
"Auto Qualify Buyers on Approved and Paid Orders with Positive","Auto qualificar positivamente compradores quando pagamento for aprovado?"
"FeedBack Message At Approved and Paid Orders","Mensagem da auto qualificação"
"Auto Create Invoice","Gerar faturas automáticamente"
"Choose the status of new orders","Status para novo pedido"
"Choose the status of approved orders","Status para pedido aprovado"
"Choose the status of refunded orders","Status para pedido devolvido"
"Choose the status when payment is pending","Status para pedido pendente"
"Choose the status when client open a mediation","Status para pedido em mediação"
"Choose the status when payment was reject","Status para pedido rejeitado"
"Choose the status when payment was canceled","Status para pedido cancelado"
"Ads Manager","Gerenciar anúncios"
"Answer Question","Responder Perguntas"
"Manage Templates","Gerenciar Templates"
"Manage Sales","Gerenciar Vendas"
"General Information","Informações Gerais"
"Pause Ad","Pausar Anúncio"
"Close Ad","Encerrar Anúncio"
"Active Ad","Ativar Anúncio"
"Create Ad","Criar Anúncio"
"Relist Ad","Recadastrar Anúncio"
"Warranty","Informações de Garantia"
"Local Pickup","Permitir retirada na loja"
"Auto Relist (beta)","Recadastramento Automático (beta)"
"Item Type","Tipo do Anúncio"
"Category","Categoria"
"Generais","Gerais"
"Product Id","ID do Produto"
"active","Ativo"
"paused","Pausado"
"closed","Encerrado"
"pending","Pendente"
"not_yet_active","Ativando"
"inactive","Inativo"
"payment_required","Pagamento Necessário"
"Edit Ad  '%s'","Editar anúncio %s"
"Success Operation","Operação realizada com sucesso"
"Attributes","Atributos"
"Selecte a relative Attribute from your stores","Atrele o atributo do Mercadolivre com os da sua Loja"
"Import from Mercadolivre","Importar do Mercadolivre"
